"GEOID","NAME","TOT_POP","WNH","BNH","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17"
"13007","Baker County, Georgia",1700.4585980177,705.167663573876,729.035387992872,120.82618767828,31.9064824604982,15.6917126854909,48.1212522355055,43.4137384298582,44.459852608891,15.6917126854909,32.9525966395309,38.1831675346946,87.3505339492328,65.3821361895455,63.8129649209964,35.0448249975964,12.0303130588764,23.01451193872,13.0764272379091
"13009","Baldwin County, Georgia",50006.63115216,21680.6290512173,24927.9188194199,2504.34069951731,1622.32947946801,1521.2771354524,1132.44529000103,1117.06775938996,667.824186537951,1080.82072294958,520.639250689126,739.219864375067,1187.36504218343,1664.06849112664,1912.30577099107,1095.099858517,393.225425625964,545.902336693029,232.859749253364
"13011","Banks County, Georgia",18683.27850735,13425.0052642856,1117.25977134881,515.842847205056,469.040537596708,538.226560496006,324.563842718763,468.023096083483,329.651050284888,505.668432072807,358.139412655187,348.982439036162,671.511398728476,741.714863140998,765.116017945172,289.970831269115,158.720876063094,61.0464907934978,55.959283227373
"13013","Barrow County, Georgia",129631.14660644,84180.565429687,14494.7271880978,1897.02432949144,1777.92089115212,2000.59253674302,2062.73346109397,1879.76296161618,2383.79490357386,1815.8959004777,2863.66093050618,2007.49708389312,4033.98167244904,5751.48777603774,6200.28334079458,4068.50440819956,1342.93442069549,1520.7265098107,835.450205162745
"13015","Bartow County, Georgia",128700.49784851,89111.7836914485,17252.9276428094,2899.50158371666,2288.75016880749,2463.07141454132,3096.39680371818,2296.27482689672,2564.65429874592,2302.54537530441,2321.35702052748,1925.05836116137,4157.37359429963,5543.1647923995,6211.60525265944,3392.36668856123,2587.22827301361,1341.89735924603,1161.30556510451
"13017","Ben Hill County, Georgia",15711.451447722,7378.21328353859,5927.18817138887,821.412729116082,620.380377914915,437.540999673129,296.545459237921,451.185729392665,449.366432096727,284.720026814323,336.569999748561,399.335756458427,440.269945617036,433.902405081253,413.890134825933,172.833243114126,151.001675562868,40.9341891586087,36.3859459187633
"13019","Berrien County, Georgia",16163.70230007,11831.2701339854,1796.12514876778,829.692513141281,470.102417794189,378.292180684293,435.248531483951,419.096730510914,309.434502851871,355.339621406819,447.99995330477,233.776066715013,521.958199865519,670.724787775073,567.013223632412,226.125213622521,163.218199306482,94.3605214740596,32.3036019460745
"13021","Bibb County, Georgia",155701.76106826,37442.5567320942,103470.407409708,8191.58190218986,4366.88800589696,3949.11530577293,3691.16848124114,3531.3426056489,2959.81336698043,3143.9165907639,2648.25406519302,2012.99678752258,3584.95508290453,5390.58285462704,5274.25389454407,3520.21548772792,1937.13007442499,1761.11930003859,2018.05456839575
"13023","Bleckley County, Georgia",13954.602918541,8259.08123016001,4416.39997292,675.944847529296,354.89834482556,176.903174959202,326.506477239515,312.310543446492,224.950950874047,149.603302280313,248.974838831469,197.651078195158,380.014227690138,358.174329547026,518.697580898895,252.250823552936,199.835068009469,97.1875467368455,63.3357046150229
"13025","Brantley County, Georgia",18846.170158019,16907.3343505794,744.200507163092,637.725490654817,511.818210798409,654.103673400366,576.307305359008,481.109118150504,347.012746921321,429.927297070663,407.407295795533,363.39092966687,449.376389081003,642.843672762801,654.103673400366,334.729109862159,195.514556524992,85.9854594141326,44.0163661286631
"13027","Brooks County, Georgia",11744.543597698,5878.2214508065,3331.84637450802,526.020891828562,365.9602490293,440.354632302196,318.618368764729,351.682539108239,381.740875784157,234.455026072159,217.922940900404,173.586894303426,211.911273565221,505.731514572318,409.544837209381,211.911273565221,232.200650821465,114.221679368488,66.1283406870193
"13029","Bryan County, Georgia",89395.05114748,54724.9502563367,14331.4944305096,2150.11460920035,1304.41994765551,996.894616184666,1770.83336705297,1519.68767968511,1142.96914863332,1127.59288205978,1107.09119329505,1073.77594905238,2144.98918700917,2498.64331820064,4917.84259243798,3823.56495462088,2239.80949754601,2647.28056174489,1224.97590369221
"13031","Bulloch County, Georgia",113628.95446342,58262.4468993795,45521.081008884,5015.62538008777,3454.69496226015,2678.08200018204,2853.74445589018,2380.68854446562,2238.92586091168,2137.22654444907,1986.21846848944,1625.64816466746,3208.15116477503,3208.15116477503,4172.75377243554,2792.1085065189,1285.10954439115,1009.28867095468,990.797886143298
"13033","Burke County, Georgia",18849.336103725,9365.86500548005,6714.11373900287,775.781905439245,584.333581135569,504.424715339252,397.04717692545,481.117962815326,469.464586553363,208.928388696621,400.376713000297,254.709509725761,331.288839447231,613.467021790476,771.619985345687,553.535372443238,119.863298694476,164.812035704904,84.9031699085869
"13035","Butts County, Georgia",22171.915876928,12247.5808563166,7222.81523609977,618.396532991242,481.916324035793,619.337775811624,497.917451982294,463.091467628145,605.219133505888,544.979593001414,414.146840968259,309.668887905812,523.331008132619,574.158120433269,759.582956048603,437.67791147782,431.089211735143,163.776250746539,135.538966135067
"13037","Calhoun County, Georgia",6815.229826699,1741.0201096523,4039.61020374533,314.403959404844,212.746679197278,168.7301248806,155.10595330639,138.337742138131,123.665557365905,94.3211878214532,106.897346197647,77.5529766531948,151.961913712341,150.913900514325,115.281451781776,69.1688710690657,20.9602639603229,24.1043035543714,30.3923827424682
"13039","Camden County, Georgia",60605.18200112,37513.1291199124,11418.9301910038,1190.01984102329,959.207025854058,736.513254434494,1115.78858388344,1390.67620797946,1113.46885709782,1332.68303833895,1292.08781959059,938.329484783474,1976.40722134863,2355.68255079757,3149.02911147977,1700.35973385979,1122.7477642403,994.002927638365,569.492925869822
"13043","Candler County, Georgia",10399.83704135,6262.65621948481,2696.21133971207,705.478205760754,230.067994030232,378.037035833909,282.573137896053,237.705105865261,191.88243485509,320.758697071195,96.4185369172342,78.2803963090417,383.76486971018,345.579310535038,277.79994299916,129.830901195484,41.049476113278,83.0535912059345,94.5092589584771
"13045","Carroll County, Georgia",163277.38114161,103464.35815419,38784.7507324712,4906.9330804886,2621.86259296307,3386.39488294362,3807.02974880653,3463.13232468889,3618.02827191543,3247.13063681334,2988.49703685709,2957.23363466458,4116.82164325962,6961.79124277835,6873.68529114491,4301.55992894266,2233.91219302869,1521.959261281,1432.43224591153
"13047","Catoosa County, Georgia",87226.67485811,71769.5634765918,5042.98546599942,1730.76156125019,1782.40632092024,1620.85091887546,2071.08728522976,1775.78519788562,1444.72904615452,1468.56508907916,1267.28294882665,1534.77631942538,3395.31189215415,3800.52462187302,4408.34371645132,2907.99723680597,1528.15519639075,1234.17733365354,762.753373588452
"13049","Charlton County, Georgia",15016.669980407,5568.29571532851,7223.63061332807,284.972677249103,205.041316557281,379.963569665471,381.121995182743,256.012039317284,216.625571730009,170.288551039098,238.635656558192,147.120040693643,287.289528283649,445.993824150019,345.210804147287,437.884845529109,210.833444143645,90.3571903472766,0
"13051","Chatham County, Georgia",524060.5053102,226160.046387086,213244.868652081,15950.9284958832,10644.353779934,9456.75300469395,10783.8555711524,9915.64047580681,9440.23305573388,10145.0842113632,9768.7964850507,8280.16552876056,15620.529516682,19979.9604922542,23722.6467066507,16497.9223614498,8190.22358442244,9273.1980162488,9517.32615088085
"13053","Chattahoochee County, Georgia",14287.225664849,5461.05208933344,3172.298915862,167.388188214705,95.2825071376015,208.591434544479,163.525383871289,261.383093904501,231.768260604977,187.989811379592,251.082282322058,114.596528854683,318.03755760794,359.240803937714,404.306854610904,209.879035992284,87.5568984507689,78.543688316131,86.2692970029635
"13055","Chattooga County, Georgia",22404.351056335,17015.5898895197,2485.28234696289,952.725217749294,904.098410794226,432.238284045048,723.098629350362,584.422179885909,473.661119599365,528.59140153009,514.183458728589,412.427362692983,710.491679399048,761.819975629398,598.83012268741,340.387648685475,195.407724245366,114.363045986919,85.5471603839158
"13057","Cherokee County, Georgia",447651.3930358,330521.700683557,42533.968872043,5727.15054168805,3952.83451899808,5804.95477369906,5939.68893157177,4852.3273476131,6651.31300484315,5782.18280335437,6508.98819018887,4584.75669606307,12427.8028156113,16133.9409892087,24654.4532265113,18534.4861963775,11881.2755273389,13752.3724239938,10602.2498596458
"13059","Clarke County, Georgia",222470.49282828,113881.89929199,71275.0629271936,13137.1280223638,7157.35798915788,6617.180027712,5598.04427378411,4858.00046660326,4629.32512959117,3772.24276409705,4045.93293122963,3358.10632698854,5475.60393585638,5641.25851069978,6802.64112780842,4753.56606072373,2837.73489079568,2311.96167498836,2355.17591190403
"13061","Clay County, Georgia",2529.1820626557,755.336273192193,1454.80599212845,223.310717833688,97.8552583765598,95.3461491874173,92.0006702685605,53.5276627017079,31.7820497291391,74.4369059445626,39.3093772965668,18.4001340537121,53.5276627017079,40.145747026281,84.4733427011328,43.4912259451377,10.8728064862844,1.67273945942837,5.01821837828512
"13063","Clayton County, Georgia",477996.8992996,15938.4567032067,389913.679199163,12187.4824953646,9573.88646381216,10178.9016892616,11139.6030991251,9312.35250468416,10332.3349452833,9429.171006428,9054.30566501121,9143.22721111473,14785.3864893694,17765.130063701,18248.096108224,9516.348992804,4203.72250305065,2855.95083367771,1991.14520882781
"13065","Clinch County, Georgia",8461.596449047,4173.57534408684,2118.7127590184,797.793418884808,375.212217319261,370.226008451231,143.353504955864,90.9983118415485,100.970729577609,123.408669483744,84.7655507565109,114.682803964691,205.68111580624,331.582889723999,140.860400521849,173.270758164044,37.3965665102254,83.5189985395034,37.3965665102254
"13067","Cobb County, Georgia",1372273.1894533,498247.579590109,528922.759277116,23415.4956380374,14014.7618012772,15349.7662706887,18844.1729625281,21926.3807778593,21200.3908647301,22006.2211007865,20251.5907480829,21103.839776539,36167.6662860463,52083.7418240097,66759.5072290567,52908.139577026,35441.6763729171,43286.4522884439,44660.448543471
"13069","Coffee County, Georgia",48975.00238347,19417.0487061,15428.6675348,2483.56323645965,1079.66170929922,1076.2486585849,1229.83594072968,926.074427154446,913.559907868575,1196.84311715783,681.472459294242,812.306070010165,1143.37198930002,1472.16254144699,1581.3801643055,648.479635722401,270.768690003388,430.044390005381,356.094957861599
