scenario,region,sector,ghg,2015,2020,2025,2030,2035,2040,2045,2050
"	GCAM-USA_updatedRef",AK,trn_freight_road,CH4,7.92E-04,8.68E-04,7.88E-04,6.35E-04,3.98E-04,3.20E-04,2.83E-04,2.55E-04
"	GCAM-USA_updatedRef",AK,trn_freight_road,N2O,0.007897,0.0086718,0.0078672,0.0063474,0.0039634,0.0032184,0.00281312,0.00255982
"	GCAM-USA_updatedRef",AK,trn_freight_road,CH4,0.002285,0.002675,0.0026,0.002265,0.0017725,0.0015525,0.0013875,0.00125
"	GCAM-USA_updatedRef",AK,trn_freight_road,N2O,0.0228268,0.0267008,0.0259856,0.022648,0.017731,0.015496,0.013857,0.0124862
"	GCAM-USA_updatedRef",AK,trn_pass,N2O,0.046488,0.042018,0.044104,0.042316,0.041422,0.042912,0.043806,0.04321
"	GCAM-USA_updatedRef",AK,trn_pass,CH4,1.67E-05,1.46E-05,1.63E-05,1.66E-05,1.72E-05,1.78E-05,1.84E-05,1.91E-05
"	GCAM-USA_updatedRef",AK,trn_pass,N2O,6.17E-05,5.39E-05,5.99E-05,6.11E-05,6.35E-05,6.59E-05,6.82E-05,7.03E-05
"	GCAM-USA_updatedRef",AK,trn_pass_road,CH4,2.23E-04,2.75E-04,2.73E-04,1.88E-04,1.37E-04,1.05E-04,8.30E-05,6.93E-05
"	GCAM-USA_updatedRef",AK,trn_pass_road,N2O,0.00240188,0.00296808,0.00293828,0.00202938,0.00147212,0.00112942,8.94E-04,7.48E-04
"	GCAM-USA_updatedRef",AK,trn_pass_road_LDV,CH4,1.51E-05,1.06E-05,6.40E-06,4.73E-06,5.03E-06,5.43E-06,5.85E-06,6.30E-06
"	GCAM-USA_updatedRef",AK,trn_pass_road_LDV,N2O,9.27E-05,6.53E-05,3.93E-05,2.90E-05,3.10E-05,3.34E-05,3.61E-05,3.87E-05
"	GCAM-USA_updatedRef",AK,trn_pass_road_LDV_4W,CH4,0.0022675,0.001745,0.0014675,0.0010575,7.65E-04,5.52E-04,5.55E-04,5.58E-04
"	GCAM-USA_updatedRef",AK,trn_pass_road_LDV_4W,N2O,0.004172,0.0032184,0.0026969,0.00194296,0.00140656,0.0010132,0.00101916,0.00102512
"	GCAM-USA_updatedRef",AK,trn_pass_road_LDV_4W,CH4,0.00217,0.001695,0.001435,0.0010375,7.62E-04,5.90E-04,5.93E-04,5.98E-04
"	GCAM-USA_updatedRef",AK,trn_pass_road_LDV_4W,N2O,0.0039932,0.0030992,0.0026373,0.00190422,0.0014006,0.00108472,0.0010877,0.00109664
"	GCAM-USA_updatedRef",AK,trn_shipping_intl,CH4,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AK,trn_shipping_intl,N2O,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AL,base load generation,CH4,0,6.38E-06,2.78E-06,5.68E-06,1.26E-05,1.89E-05,2.21E-05,2.48E-05
"	GCAM-USA_updatedRef",AL,base load generation,N2O,0,1.52E-05,6.65E-06,1.35E-05,2.98E-05,4.50E-05,5.27E-05,5.90E-05
"	GCAM-USA_updatedRef",AL,base load generation,CH4,5.50E-04,4.10E-06,1.18E-05,1.45E-05,1.39E-05,8.30E-06,4.70E-06,3.05E-06
"	GCAM-USA_updatedRef",AL,base load generation,N2O,0.0079268,5.90E-05,1.70E-04,2.09E-04,2.00E-04,1.19E-04,6.76E-05,4.38E-05
"	GCAM-USA_updatedRef",AL,base load generation,CH4,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AL,base load generation,N2O,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AL,base load generation,CH4,7.83E-04,0.0027,0.002975,0.00375,0.005025,0.006575,0.00805,0.009225
"	GCAM-USA_updatedRef",AL,base load generation,N2O,0.00267604,0.0071222,0.0077182,0.0094764,0.0123968,0.0160324,0.0194296,0.022201
"	GCAM-USA_updatedRef",AL,base load generation,CH4,7.13E-06,3.35E-07,4.63E-07,1.98E-07,1.22E-07,7.83E-08,5.20E-08,4.28E-08
"	GCAM-USA_updatedRef",AL,base load generation,N2O,1.02E-04,4.80E-06,6.62E-06,2.83E-06,1.75E-06,1.12E-06,7.42E-07,6.14E-07
"	GCAM-USA_updatedRef",AL,biomass liquids,CH4,0,0,0,0,0,5.18E-04,0.0013775,0.00209
