scenario,region,sector,ghg,2015,2020,2025,2030,2035,2040,2045,2050
GCAM-USA_updatedRef,AR,base load generation,CO2,19.83079082920379,13.417964760894762,13.951318405994089,15.006830565522288,16.540828698956577,17.806071123807413,17.758040401957864,17.03065753300329
GCAM-USA_updatedRef,AR,biomass liquids,CO2,0.0014387051685015903,0.0013697197167189066,0.0013677714996991833,0.0012260933842661167,0.0010514041542911499,0.010209319768487253,0.03580303364865054,0.0605664747233931
GCAM-USA_updatedRef,AR,cement,CO2,0.2608496,0.25551203333333333,0.28155189333333336,0.3179258133333333,0.3533872466666667,0.3865381666666667,0.41801705,0.4491977086666667
GCAM-USA_updatedRef,AR,comm cooking,CO2,0.15734473333333332,0.15657106666666668,0.1531913533333333,0.15083335666666667,0.14709163333333333,0.14623128666666665,0.145515568,0.14935815766666666
GCAM-USA_updatedRef,AR,comm cooling,CO2,0.04700593333333333,0.04606147333333333,0.04384218666666667,0.04086716333333334,0.03779706333333333,0.035265563666666666,0.03222496566666667,0.032505553666666666
GCAM-USA_updatedRef,AR,comm heating,CO2,1.2111517025467824,1.1580297244302893,1.1161298027221906,1.0828348825850784,1.0431712280360947,1.0076369691210827,0.939028369293696,0.9576218129004487
GCAM-USA_updatedRef,AR,comm hot water,CO2,0.3418996450398411,0.33546450383161613,0.32657919732202745,0.3176320867002866,0.3077503590121759,0.3037315854903033,0.2989551788673439,0.31202852461463687
GCAM-USA_updatedRef,AR,comm other,CO2,0.9267676779991006,0.8794353649482939,0.898390473840101,0.8920049963753023,0.8753252240354966,0.8692511787265644,0.8775851924420056,0.8914188952614036
GCAM-USA_updatedRef,AR,gas to liquids,CO2,0,0,0,0,0,0.13563293333333332,0.46444236666666666,0.8221979333333334
GCAM-USA_updatedRef,AR,H2 central production,CO2,0,0,0.006842194003333333,0.030994779471333337,0.06085728193966667,0.160727972559,0.2393418643487667,0.24224335252296667
GCAM-USA_updatedRef,AR,H2 wholesale dispensing,CO2,0,0,0.007857006666666668,0.030400186666666665,0.06842711333333333,0.10872675,0.1473137966666667,0.1840678033333333
GCAM-USA_updatedRef,AR,intermediate generation,CO2,7.7849159666666665,7.288616995000001,7.473226071666666,7.725423163333335,7.941856002666666,8.105697515666668,8.086538621333334,8.135518394666667
GCAM-USA_updatedRef,AR,oil refining,CO2,0.8503293333333334,0.7920513333333333,0.8074476666666666,0.75504,0.71412,0.6582081000000001,0.5852249333333334,0.5112777999999999
GCAM-USA_updatedRef,AR,other industrial energy use,CO2,4.796089623821357,4.833451164592087,5.108673384730923,5.294598213343266,5.45657876789168,5.618778039690567,5.751885072448498,5.803911803083497
GCAM-USA_updatedRef,AR,other industrial feedstocks,CO2,-0.06833141112063017,-0.06488135109084421,-0.06962465724076868,-0.07373954604793002,-0.07279948658042536,-0.12871200774392216,-0.22401698509377074,-0.3094843651518993
GCAM-USA_updatedRef,AR,peak generation,CO2,0.08253017666666666,0.07070861893333334,0.06449320716666666,0.05614909666666667,0.046318258800000005,0.03643084059999999,0.027138184699999998,0.019359048133333334
GCAM-USA_updatedRef,AR,process heat cement,CO2,0.20979956841689304,0.20637265195423396,0.22534128994623914,0.25272241291366593,0.27610622084067915,0.29437461352924127,0.31240821436816896,0.3290826625428049
GCAM-USA_updatedRef,AR,resid clothes dryers,CO2,0.0103873,0.01027081,0.009926370666666668,0.009977561000000001,0.009840321333333334,0.010507229333333333,0.011197802,0.011883791333333333
GCAM-USA_updatedRef,AR,resid cooking,CO2,0.05199310045209243,0.04911035905389569,0.04560024471517643,0.041072581274150435,0.03710814898343777,0.032487997154860275,0.03347028480134713,0.034654825748579414
GCAM-USA_updatedRef,AR,resid heating,CO2,1.2944694749333967,1.1752056052068127,1.0787190781999867,0.9497857211158287,0.7933309759584916,0.6355779984583627,0.5064320912219763,0.416217703113608
GCAM-USA_updatedRef,AR,resid hot water,CO2,0.37442655078103,0.33034284707375855,0.3045590737772103,0.2832697238017365,0.2415241268342595,0.25509840110229237,0.2685711408575562,0.28317993904556
GCAM-USA_updatedRef,AR,resid other,CO2,0.06468455753273324,0.0461119111232087,0.047897776399264735,0.04924131296422946,0.05326288607274507,0.0575623589115663,0.06027990900603724,0.06341038123195783
GCAM-USA_updatedRef,AR,subpeak generation,CO2,0.55705485,0.4962994666666667,0.46011877999999995,0.40910465566666665,0.3483385033333333,0.28703578199999996,0.23165906133333333,0.188919874
GCAM-USA_updatedRef,AR,trn_aviation_intl,CO2,0.10410337779298233,0.0937494353917825,0.09646000793468416,0.09332019964860046,0.0931046658731959,0.09725651959065901,0.1000317936957295,0.10360184425071765
GCAM-USA_updatedRef,AR,trn_freight,CO2,0.4771453513228014,0.45092985114809503,0.41916506067841164,0.35860950721218804,0.2808555651461905,0.24838174938414195,0.24524205373803007,0.25379814006359047
GCAM-USA_updatedRef,AR,trn_freight_road,CO2,7.225448098781953,7.26220302050265,7.064137645974273,6.601595420410686,6.093282184238333,5.817915490196921,5.514222682971639,5.228963483114984
GCAM-USA_updatedRef,AR,trn_pass,CO2,0.418134641240679,0.3991272794314887,0.44032777092748027,0.43484053187398636,0.4324118799032597,0.44814634730575603,0.4489393572294987,0.438382788174342
