scenario,region,sector,ghg,2015,2020,2025,2030,2035,2040,2045,2050,Units
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,resid clothes dryers,CO2,0.0028329,0.002802654,0.002645622,0.002646021,0.002368849,0.002359758,0.00236515,0.002195294,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,resid cooking,CO2,0.014267,0.013511625,0.01249899,0.01123787,0.00955626,0.00750098,0.007165893,0.006313771,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,resid heating,CO2,0.47977095,0.428119746,0.3922291,0.344047574,0.27767992,0.208397463,0.147795869,0.099308228,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,resid hot water,CO2,0.102508542,0.091037668,0.084648705,0.07925865,0.059754269,0.057262894,0.054898627,0.04731631,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,resid other,CO2,0.01779566,0.01297626,0.01444879,0.01490777,0.01498717,0.01569511,0.01583848,0.01352162,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,subpeak generation,CO2,0.15192405,0.13839909,0.097316185,0.079609277,0.048467381,0.037605366,0.029641585,0.014341598,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,trn_aviation_intl,CO2,0.0294765,0.0264656,0.0258187,0.0251945,0.024327,0.0256776,0.0268223,0.0264584,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,trn_freight,CO2,0.135102,0.127637,0.11285664,0.0965635,0.0740829,0.065862,0.0632906,0.0546519,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,trn_freight_road,CO2,2.04586,2.0482512,1.66178685,1.3172396,0.864904394,0.621387225,0.39796228,0.140611873,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,trn_pass,CO2,0.11839335,0.10740739,0.10343932,0.10128871,0.09164912,0.09181221,0.08414667,0.05373929,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,trn_pass_road,CO2,0.08503953,0.10425335,0.11373309,0.0811881,0.056842944,0.037582189,0.026308784,0.020146807,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,trn_pass_road_LDV,CO2,0.0102213,0.00677167,0.00161782,8.29E-04,8.43E-04,8.90E-04,9.24E-04,8.92E-04,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,trn_pass_road_LDV_4W,CO2,2.90416863,2.43205469,1.91408348,1.197020534,0.673627777,0.29946359,0.24573783,0.19439832,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AR,trn_shipping_intl,CO2,0,0,0,0,0,0,0,0,MTC
