"lat","lon","SOx","NOx","NH3","VOC","PM2_5","PM10","CO"
21.35811,-71.5489799999998,0,0,0,0,0,0,0
21.36353,-70.3859599999998,443849.176488978,432062.973966965,1050.30382938221,23352.0981422682,54567.5422527017,4745.18740045375,52758.1830210397
21.37115,-71.1969600000001,412697.81045757,326489.807107292,952.404981574998,17192.6924734828,49481.3001183432,4302.88263739353,40521.9549862611
21.37204,-72.0080600000001,0,0,0,0,0,0,0
21.37237,-70.0337799999999,203116.212603018,180258.380210372,467.147134376686,9885.00357170458,24270.1875952159,2110.5326845741,22496.6900474436
21.37994,-69.6815200000001,333777.293353405,295812.161100066,769.619155934419,16278.3607562592,39984.8354549235,3477.0803567018,37060.0145861046
21.38292,-70.8448500000002,98092.5250263394,108020.818440336,233.453239566915,5360.69188987569,12128.8421935094,1054.71823406772,12215.6289207679
21.38623,-69.3292199999998,128352.598299528,127442.818985515,305.851654178182,7129.33936449737,15890.2333711608,1381.81086070414,15943.3300015346
21.38673,-71.6560700000001,0,0,0,0,0,0,0
21.39342,-70.4926500000001,496004.231415467,488593.762218179,1170.63891802543,25477.1146276709,60819.4378589066,5288.84680578613,57969.4047863475
21.40015,-72.1153299999999,0,0,0,0,0,0,0
21.40015,-71.3039600000001,221472.973400237,170885.347090308,507.971654745758,8739.53339925823,26391.1869717698,2294.96377794581,20841.9799615946
21.40264,-70.1403799999999,195081.604081982,173137.968126568,446.095786154774,9124.33664776166,23176.4846569641,2015.43415047807,20833.6979563937
21.4106099999999,-69.7879899999999,340940.445468466,276847.51219707,803.856959359551,16231.2304162544,41763.6279246444,3631.76587182433,35061.0929309248
21.4123199999999,-70.95172,79810.6375674094,78408.6981401827,188.717890970363,4178.66948983338,9804.6593515017,852.607846761343,9431.2489250965
21.41524,-71.7632400000002,0,0,0,0,0,0,0
21.41728,-69.4355800000001,102381.684965022,103235.632647529,244.046278094649,5696.93378491774,12679.1935781546,1102.58050398785,12703.1032203367
21.4232,-70.5994300000002,563057.860884759,536568.644120842,1323.67282921481,27992.48749504,68770.1700983272,5980.26141537058,64004.7669034369
21.42815,-72.2226600000001,0,0,0,0,0,0,0
21.42905,-71.4110099999999,74612.0831911481,58389.2655082004,171.591919693091,3026.90631289762,8914.89579384697,775.23882762683,7181.09908155329
21.43282,-70.24701,245552.177834362,227406.917336343,572.12667336922,12332.1216181449,29724.3000705599,2584.83616449558,27461.7118478936
21.44116,-69.8945299999998,361818.058391482,291819.528494883,856.562826659313,17471.8415291617,44501.9117086077,3869.87182455562,36993.6948835522
21.4416000000001,-71.0586899999999,0,0,0,0,0,0,0
21.44363,-71.8704799999998,0,0,0,0,0,0,0
21.44823,-69.5419899999999,140985.474400418,143994.508969046,341.662214240053,8617.54859699658,17750.737092886,1543.60126878743,18387.1615803345
21.45287,-70.7062699999999,332826.189370573,279700.441610296,771.881616013701,14713.4064064017,40102.3794601654,3487.30117739522,34002.081084753
21.45403,-69.1893899999998,36506.6840086223,34510.0655062026,86.1677481203776,1903.41403715118,4476.76385987561,389.300165691228,4213.06708131804
21.45605,-72.3300799999999,99725.9592925145,98331.1465349127,234.959380630177,5044.31592144051,12207.0925890582,1061.52618599823,11559.2710290175
21.45782,-71.5181599999998,0,0,0,0,0,0,0
21.46288,-70.35376,241338.991824421,225124.853687074,569.855954860262,12341.9667578203,29606.327150851,2574.55915938985,27394.421555615
21.4707699999999,-71.1657100000001,9489462.97362821,7001406.30408456,22193.4805386639,388827.5714243,1153041.28870727,100268.46806254,882132.173071214
21.4716,-70.0011599999999,308415.529445848,252536.46734026,733.420430691198,15265.677546361,38104.164808568,3313.54421554928,31942.6474010578
21.4719,-71.97778,0,0,0,0,0,0,0
21.47906,-69.6485,137990.238760197,136798.690043062,330.038276594876,8388.71474277564,17146.8264545247,1491.08248152691,17546.5056946083
21.48243,-70.8131700000001,240315.360528213,188158.401148183,552.729434251194,9804.92498439188,28716.5350736993,2497.19083601631,22927.8611626806
21.48382,-72.4375600000001,235980.150890524,200387.242551564,555.890814666167,12309.8584789238,28880.7816646981,2511.46640858016,27861.8325610493
21.48524,-69.2957800000002,70875.3203135236,69447.5112481773,167.554209775036,3740.90963366333,8705.12046115641,756.993689059266,8369.08155093344
21.4865,-71.6253699999999,0,0,0,0,0,0,0
21.49282,-70.4605700000001,201804.225836555,189015.150545112,476.469681332083,10289.4123643676,24754.5316511738,2152.65310411944,22919.3771229681
21.49982,-71.2728299999999,306767.689508353,235554.769188849,703.069114813124,11930.2940654611,36527.2908911989,3176.40339262086,28551.7555210508
21.50008,-72.08514,172249.937521201,182799.120362696,411.975486754784,9797.48549211776,21403.7966504209,1861.26632790922,22078.4333643362
21.5019299999999,-70.1078500000002,266486.546993862,237752.342137497,631.244399466206,13448.4516504835,32795.7057479388,2851.89870478869,29346.231254325
21.50977,-69.7550700000001,159086.84900288,145556.815550779,354.68992827475,7830.1061920681,18427.5797571505,1602.45898673923,17837.8398761991
21.51149,-72.5451,286703.2670079,234582.179898988,680.10487606715,15502.53975225,35334.205419017,3072.66287547074,34265.1571337502
