"","STNAME","scenario","black","total","white","disparity"
"48","Connecticut","jie_RCP45NZ2050",7.95634304044702,7.86494213824931,7.77564235144601,0.180700689001018
"49","Connecticut","jie_equityNZ2050scaled",5.517258867809,5.49945722313358,5.47340494891373,0.0438539188952713
"50","Connecticut","jie_newNZ2050",9.04545016977269,8.9205361915012,8.79959174469784,0.24585842507485
"51","Connecticut","pengfei_2017",7.02148736701365,6.93149653502009,6.84189645282414,0.179590914189515
"52","Connecticut","pengfei_NZ2050",5.40996469500252,5.35193932024893,5.29187242808801,0.118092266914508
"53","Connecticut","pengfei_NZ2050RCP",5.51788870138818,5.44337456056997,5.37167215824389,0.146216543144295
"54","Connecticut","pengfei_REF2050",6.32593891451041,6.24541859875282,6.16253721751378,0.163401696996629
"55","Delaware","jie_2017NZ2050",7.96033551267106,7.62164410846125,7.23478002308808,0.725555489582979
"56","Delaware","jie_NEI2017",10.7307763070144,10.2404643621926,9.67323551796421,1.0575407890502
"57","Delaware","jie_RCP45NZ2050",10.1471227583753,9.88884142480715,9.59306264943674,0.554060108938559
"58","Delaware","jie_equityNZ2050scaled",6.4585587635635,6.29445633982431,6.09760585813887,0.360952905424624
"59","Delaware","jie_newNZ2050",10.5528519737385,10.0151874825885,9.39126677841763,1.16158519532083
"60","Delaware","pengfei_2017",8.49949581981347,8.13143997613735,7.69711486711291,0.802380952700564
"61","Delaware","pengfei_NZ2050",6.23603720810624,6.00034913274758,5.72363181991505,0.51240538819119
"62","Delaware","pengfei_NZ2050RCP",6.38165367709631,6.09165694680046,5.75887397378616,0.622779703310148
"63","Delaware","pengfei_REF2050",7.14998202135108,6.83015521121995,6.45613685243685,0.693845168914224
"64","District of Columbia","jie_2017NZ2050",7.84,7.84,7.84,0
"65","District of Columbia","jie_NEI2017",12.5,12.5,12.5,0
"66","District of Columbia","jie_RCP45NZ2050",9.91,9.91,9.91,0
"67","District of Columbia","jie_equityNZ2050scaled",5.90064927323342,5.90064927323342,5.90064927323342,8.88178419700125e-16
"68","District of Columbia","jie_newNZ2050",10.4,10.4,10.4,0
"69","District of Columbia","pengfei_2017",10.1534225,10.1534225,10.1534225,0
"70","District of Columbia","pengfei_NZ2050",6.133235,6.133235,6.133235,0
"71","District of Columbia","pengfei_NZ2050RCP",6.498605,6.498605,6.498605,0
"72","District of Columbia","pengfei_REF2050",7.1011225,7.1011225,7.1011225,-1.77635683940025e-15
"73","Florida","jie_2017NZ2050",5.62464482014492,5.55792900687888,5.81999739802799,-0.195352577883066
"74","Florida","jie_NEI2017",7.47603959355622,7.32421206481824,7.45169362556978,0.0243459679864397
"75","Florida","jie_RCP45NZ2050",8.21684728121348,8.24417568928924,8.34578846087767,-0.128941179664196
"76","Florida","jie_equityNZ2050scaled",5.44704014363029,5.39996125394574,5.56334376968664,-0.116303626056347
"77","Florida","jie_newNZ2050",6.60650843647663,6.50719778971354,6.79075970758324,-0.184251271106609
"78","Florida","pengfei_2017",7.3437683962941,7.19158945894656,7.08479787106798,0.25897052522612
"79","Florida","pengfei_NZ2050",5.53713192410254,5.47318726141004,5.54136369575045,-0.00423177164790456
"80","Florida","pengfei_NZ2050RCP",5.57889945381953,5.56833333796791,5.58149433990089,-0.00259488608136227
"81","Florida","pengfei_REF2050",5.80735237215909,5.74216471294133,5.85205112343427,-0.0446987512751793
"82","Georgia","jie_2017NZ2050",7.95052704460421,7.87576342467385,7.79767353528792,0.152853509316281
"83","Georgia","jie_NEI2017",10.3062264535649,10.0529573386891,9.81996769212287,0.486258761442061
"84","Georgia","jie_RCP45NZ2050",9.38536501759681,9.26119253289877,9.13435473516331,0.251010282433505
"85","Georgia","jie_equityNZ2050scaled",6.39516612689065,6.35917445513509,6.35023079319339,0.0449353336972553
"86","Georgia","jie_newNZ2050",9.86692380511839,9.5779405716326,9.33150296582214,0.535420839296242
"87","Georgia","pengfei_2017",9.56127546987934,9.28977978933454,9.0769357840135,0.484339685865836
"88","Georgia","pengfei_NZ2050",6.54453805569773,6.44117511149011,6.37183635720299,0.172701698494739
"89","Georgia","pengfei_NZ2050RCP",6.12098250576828,5.97614534398723,5.88290402672,0.238078479048279
"90","Georgia","pengfei_REF2050",7.27836492809575,7.15474227558564,7.07080413973466,0.207560788361087
"91","Idaho","jie_2017NZ2050",2.96976571809221,2.96048330308853,2.96634677161309,0.00341894647912433
"92","Idaho","jie_NEI2017",3.94378850472078,3.99596554084111,3.98251573177335,-0.0387272270525649
"93","Idaho","jie_RCP45NZ2050",3.85625309420218,3.83836693225997,3.82076505295832,0.0354880412438674
"94","Idaho","jie_equityNZ2050scaled",2.91616558406738,2.92560533805603,2.9230434983772,-0.00687791430982232
"95","Idaho","jie_newNZ2050",3.18531704853152,3.19191443448047,3.19325116182951,-0.00793411329799465
"96","Idaho","pengfei_2017",4.20403764135431,4.30987238453152,4.27377906518066,-0.0697414238263576
"97","Idaho","pengfei_NZ2050",2.9356936407872,2.94026920345277,2.93908253438575,-0.00338889359855221
"98","Idaho","pengfei_NZ2050RCP",3.10821208409678,3.10372169929655,3.10321772039128,0.00499436370550166
"99","Idaho","pengfei_REF2050",3.04395225782355,3.05248443964223,3.05002652490838,-0.00607426708483327
"100","Illinois","jie_2017NZ2050",6.43687786772263,6.49362936153873,6.45672594816868,-0.0198480804460468
"101","Illinois","jie_NEI2017",7.54454348126256,7.66009934268228,7.60215750753623,-0.0576140262736642
"102","Illinois","jie_RCP45NZ2050",8.93516362857738,8.964582634201,9.00928522950447,-0.0741216009270929
"103","Illinois","jie_equityNZ2050scaled",6.70900350706946,6.73670814145425,6.67570265571145,0.0333008513580086
"104","Illinois","jie_newNZ2050",6.24180078544487,6.35515327570596,6.48514199027627,-0.243341204831406
"105","Illinois","pengfei_2017",9.25772693759134,9.387711280522,9.24984687632908,0.00788006126226293
"106","Illinois","pengfei_NZ2050",6.62700802209434,6.59224565795348,6.48399146731447,0.143016554779875
